Type,Number,Title,Track,Stage,Month,TargetDate,Difficulty,Priority,Domain,Status
Milestone,,"Portfolio infrastructure live (GitHub, LinkedIn, site)",Program,Phase 0 — Setup & Branding,Month 1,2026-08-31,,,,Not Started
Project,1,Real Estate Intelligence Platform,Data Science,Stage 1 — Data Science Foundation,Month 2,2026-09-30,Foundation,★★,Business Analytics,Not Started
Project,2,Housing Price Prediction Engine,Data Science,Stage 1 — Data Science Foundation,Month 2,2026-09-30,Foundation,★★★,Predictive Modeling,Not Started
Project,3,Air Quality Forecasting System,Data Science,Stage 1 — Data Science Foundation,Month 3,2026-10-31,Foundation,★★,Environmental AI,Not Started
Project,4,Disaster Damage Risk Assessment,Data Science,Stage 1 — Data Science Foundation,Month 3,2026-10-31,Foundation,★★★,Humanitarian AI,Not Started
Milestone,,Stage 1 documentation & deployment polish,Program,Stage 1 — Data Science Foundation,Month 4,2026-11-30,,,,Not Started
Project,5,Corporate Bankruptcy Prediction Engine,Machine Learning,Stage 2 — Advanced Machine Learning,Month 5,2026-12-31,Intermediate,★★★★★ (Flagship),Financial AI,Not Started
Project,6,Consumer Finance Segmentation,Machine Learning,Stage 2 — Advanced Machine Learning,Month 5,2026-12-31,Intermediate,★★,Customer Analytics,Not Started
Project,7,Experimentation Analytics Platform,Machine Learning,Stage 2 — Advanced Machine Learning,Month 6,2027-01-31,Intermediate,★★,Decision Science,Not Started
Project,8,Financial Volatility Forecasting System,Machine Learning,Stage 2 — Advanced Machine Learning,Month 6,2027-01-31,Intermediate,★★★,Quantitative Finance,Not Started
Project,9,Industrial Strength Prediction Neural Network,Deep Learning,Stage 3 — Deep Learning,Month 7,2027-02-28,Advanced,★★,Industrial AI,Not Started
Project,10,Medical Risk Classification AI,Deep Learning,Stage 3 — Deep Learning,Month 7,2027-02-28,Advanced,★★★★,Healthcare AI,Not Started
Project,11,Protein Localization AI,Deep Learning,Stage 3 — Deep Learning,Month 8,2027-03-31,Advanced,★★,Bioinformatics,Not Started
Project,12,CIFAR-10 Vision Benchmark,Deep Learning,Stage 3 — Deep Learning,Month 8,2027-03-31,Advanced,★★,Computer Vision Foundation,Not Started
Project,13,Pet Breed Recognition System,Deep Learning,Stage 3 — Deep Learning,Month 9,2027-04-30,Advanced,★★★,Computer Vision,Not Started
Project,14,Agricultural Seedling Intelligence,Deep Learning,Stage 3 — Deep Learning,Month 9,2027-04-30,Advanced,★★★,Agricultural AI,Not Started
Milestone,,Best deep learning project published (demo + article),Program,Stage 3 — Deep Learning,Month 10,2027-05-31,,,,Not Started
Project,15,Sequence Prediction Engine,Deep Learning,Stage 4 — Sequential & Generative Deep Learning,Month 11,2027-06-30,Advanced,★★,RNN,Not Started
Project,16,LSTM Forecasting System,Deep Learning,Stage 4 — Sequential & Generative Deep Learning,Month 11,2027-06-30,Advanced,★★★,Time Series,Not Started
Project,17,AI Anomaly Detection Platform,Deep Learning,Stage 4 — Sequential & Generative Deep Learning,Month 12,2027-07-31,Advanced,★★★★★ (Flagship),Autoencoder/VAE — Cybersecurity,Not Started
Project,18,Synthetic Data Generation Engine,Deep Learning,Stage 4 — Sequential & Generative Deep Learning,Month 12,2027-07-31,Advanced,★★★,GAN/DCGAN,Not Started
Milestone,,Stage 4 buffer / portfolio catch-up,Program,Stage 4 — Sequential & Generative Deep Learning,Month 13,2027-08-31,,,,Not Started
Project,19,Wildlife Conservation AI,Computer Vision,Stage 5 — Computer Vision Engineering,Month 14,2027-09-30,Expert,★★★★,Conservation,Not Started
Project,20,Crop Disease Diagnosis AI,Computer Vision,Stage 5 — Computer Vision Engineering,Month 14,2027-09-30,Expert,★★★★★ (Flagship),Agricultural AI,Not Started
Project,21,Smart Traffic Monitoring System,Computer Vision,Stage 5 — Computer Vision Engineering,Month 15,2027-10-31,Expert,★★★★★ (Flagship),Urban AI,Not Started
Project,22,Face Recognition Platform,Computer Vision,Stage 5 — Computer Vision Engineering,Month 15,2027-10-31,Expert,★★★★,Identity Verification,Not Started
Project,23,Medical Image Generation Platform,Generative AI,Stage 6 — Generative AI,Month 16,2027-11-30,Production AI,★★★★★ (Flagship),Healthcare AI,Not Started
Project,24,AI Marketing Content Generator,Generative AI,Stage 6 — Generative AI,Month 17,2027-12-31,Production AI,★★★★★ (Flagship),Marketing AI,Not Started
Project,25,Enterprise Knowledge Assistant (RAG),LLM Systems,Stage 6.5 — LLM Systems,Month 18,2028-01-31,Production AI,★★★★★ (Flagship),Retrieval-Augmented Generation,Not Started
Project,26,AI Agent Workflow System,LLM Systems,Stage 6.5 — LLM Systems,Month 18,2028-01-31,Production AI,★★★★,Autonomous Agents,Not Started
Project,27,Multimodal AI Assistant,LLM Systems,Stage 6.5 — LLM Systems,Month 18,2028-01-31,Production AI,★★★★,Vision-Language Systems,Not Started
Project,28,NeuroAegis Cortex Expansion (Capstone),Production AI,Stage 7 — Production AI Capstone,Month 19,2028-02-29,Production AI,★★★★★ (Flagship),Full-Stack AI Platform,Not Started
